time_s,roll_deg,pitch_deg,airspeed,altitude,lat,lon
54.920,34.63,0.50,0.00,0.00,0.0000000,0.0000000
54.965,34.90,0.45,0.00,0.00,0.0000000,0.0000000
55.029,35.63,0.40,30.30,617.74,-35.3650632,149.1759700
55.065,34.95,0.47,30.30,617.74,-35.3650632,149.1759700
55.126,34.04,0.50,30.29,617.78,-35.3650748,149.1760002
55.165,35.06,0.38,30.29,617.78,-35.3650748,149.1760002
55.240,35.04,0.38,30.29,617.81,-35.3650865,149.1760302
55.292,32.45,0.52,30.29,617.81,-35.3650865,149.1760302
55.351,31.35,0.39,30.29,617.83,-35.3650984,149.1760601
55.393,32.02,0.18,30.29,617.83,-35.3650984,149.1760601
55.450,30.20,0.11,30.30,617.84,-35.3651104,149.1760898
55.484,28.40,0.09,30.30,617.84,-35.3651104,149.1760898
55.539,27.07,-0.12,30.32,617.84,-35.3651228,149.1761194
55.572,26.16,-0.30,30.32,617.84,-35.3651228,149.1761194
55.635,24.13,-0.47,30.33,617.83,-35.3651353,149.1761487
55.676,22.79,-0.59,30.33,617.83,-35.3651353,149.1761487
55.726,20.92,-0.84,30.36,617.80,-35.3651481,149.1761778
55.771,19.62,-1.00,30.36,617.80,-35.3651481,149.1761778
55.836,17.62,-1.22,30.40,617.76,-35.3651612,149.1762066
55.878,16.32,-1.38,30.40,617.76,-35.3651612,149.1762066
55.939,14.38,-1.64,30.42,617.71,-35.3651745,149.1762355
55.983,13.10,-1.81,30.42,617.71,-35.3651745,149.1762355
56.053,11.18,-2.07,30.45,617.65,-35.3651880,149.1762641
56.105,9.92,-2.28,30.45,617.65,-35.3651880,149.1762641
56.164,8.09,-2.61,30.48,617.58,-35.3652018,149.1762928
56.212,6.89,-2.84,30.48,617.58,-35.3652018,149.1762928
56.279,5.07,-3.24,30.54,617.48,-35.3652156,149.1763214
56.317,3.88,-3.59,30.54,617.48,-35.3652156,149.1763214
56.378,2.18,-4.28,30.63,617.36,-35.3652297,149.1763502
56.414,1.00,-4.93,30.63,617.36,-35.3652297,149.1763502
56.477,-0.57,-6.47,30.68,617.20,-35.3652437,149.1763790
56.523,-0.19,-7.54,30.68,617.20,-35.3652437,149.1763790
56.571,0.88,-8.92,30.78,616.94,-35.3652577,149.1764082
56.615,0.54,-9.82,30.78,616.94,-35.3652577,149.1764082
56.677,0.01,-11.32,30.87,616.56,-35.3652715,149.1764376
56.709,2.05,-12.24,30.87,616.56,-35.3652715,149.1764376
56.776,4.58,-13.35,31.06,616.05,-35.3652853,149.1764673
56.809,-0.88,-14.02,31.06,616.05,-35.3652853,149.1764673
56.873,-10.79,-15.30,31.16,615.41,-35.3652987,149.1764971
56.917,-5.05,-16.17,31.16,615.41,-35.3652987,149.1764971
56.967,1.46,-17.04,31.34,614.68,-35.3653120,149.1765272
57.011,-5.36,-17.45,31.34,614.68,-35.3653120,149.1765272
57.068,-9.31,-18.70,31.43,613.83,-35.3653242,149.1765581
57.105,-2.69,-19.38,31.43,613.83,-35.3653242,149.1765581
57.170,-3.90,-19.67,31.59,612.92,-35.3653366,149.1765889
57.207,-12.74,-20.27,31.59,612.92,-35.3653366,149.1765889
57.263,-19.24,-21.39,31.68,611.92,-35.3653483,149.1766199
57.305,-14.26,-21.83,31.68,611.92,-35.3653483,149.1766199
57.352,-7.03,-22.29,31.80,610.87,-35.3653596,149.1766512
57.395,-3.63,-22.73,31.80,610.87,-35.3653596,149.1766512
57.452,3.35,-23.20,31.84,609.73,-35.3653703,149.1766826
57.491,8.21,-23.28,31.84,609.73,-35.3653703,149.1766826
57.553,14.83,-23.38,31.95,608.50,-35.3653806,149.1767139
57.592,19.03,-23.55,31.95,608.50,-35.3653806,149.1767139
57.658,24.92,-23.66,31.98,607.20,-35.3653903,149.1767452
57.704,28.39,-23.70,31.98,607.20,-35.3653903,149.1767452
57.759,32.21,-23.92,32.10,605.81,-35.3653997,149.1767762
57.803,32.99,-24.09,32.10,605.81,-35.3653997,149.1767762
57.860,30.13,-24.39,32.16,604.34,-35.3654089,149.1768068
57.890,24.89,-24.59,32.16,604.34,-35.3654089,149.1768068
57.948,11.10,-24.97,32.28,602.80,-35.3654182,149.1768366
57.984,0.36,-25.19,32.28,602.80,-35.3654182,149.1768366
58.043,-13.47,-25.58,32.26,601.31,-35.3654279,149.1768662
58.084,-21.64,-25.96,32.26,601.31,-35.3654279,149.1768662
58.132,-32.72,-26.61,32.21,599.91,-35.3654376,149.1768959
58.176,-38.90,-27.11,32.21,599.91,-35.3654376,149.1768959
58.242,-45.30,-27.97,32.09,598.56,-35.3654469,149.1769262
58.280,-46.38,-28.63,32.09,598.56,-35.3654469,149.1769262
58.358,-41.52,-29.62,31.98,597.18,-35.3654554,149.1769569
58.405,-36.98,-30.22,31.98,597.18,-35.3654554,149.1769569
58.473,-32.40,-30.79,31.84,595.75,-35.3654629,149.1769879
58.530,-30.11,-30.81,31.84,595.75,-35.3654629,149.1769879
58.586,-23.61,-30.89,31.80,594.26,-35.3654698,149.1770188
58.633,-20.04,-30.90,31.80,594.26,-35.3654698,149.1770188
58.699,-23.45,-30.92,31.67,592.73,-35.3654758,149.1770498
58.738,-28.46,-30.99,31.67,592.73,-35.3654758,149.1770498
58.804,-21.04,-31.17,31.63,591.19,-35.3654814,149.1770806
58.843,-14.99,-31.29,31.63,591.19,-35.3654814,149.1770806
58.912,-25.81,-31.62,31.49,589.60,-35.3654853,149.1771120
58.954,-31.07,-31.82,31.49,589.60,-35.3654853,149.1771120
59.015,-21.25,-31.92,31.43,588.04,-35.3654891,149.1771430
59.065,-20.20,-32.10,31.43,588.04,-35.3654891,149.1771430
59.174,-26.75,-32.46,31.31,586.45,-35.3654911,149.1771744
59.208,-25.52,-32.76,31.31,586.45,-35.3654911,149.1771744
59.274,-11.26,-20.93,31.24,584.86,-35.3654927,149.1772052
59.313,-12.15,-15.48,31.24,584.86,-35.3654927,149.1772052
59.391,-13.50,-11.04,26.24,585.10,-35.3654996,149.1772167
59.449,-14.07,-8.82,26.24,585.10,-35.3654996,149.1772167
59.504,-14.84,-5.50,22.43,585.28,-35.3655061,149.1772264
59.551,-15.31,-3.62,22.43,585.28,-35.3655061,149.1772264
59.626,-16.02,-1.99,19.60,585.31,-35.3655122,149.1772383
59.668,-16.56,-1.04,19.60,585.31,-35.3655122,149.1772383
59.737,-17.37,0.18,17.58,585.24,-35.3655172,149.1772510
59.778,-17.89,0.69,17.58,585.24,-35.3655172,149.1772510
59.840,-18.69,1.23,16.21,585.11,-35.3655218,149.1772656
59.886,-19.27,1.59,16.21,585.11,-35.3655218,149.1772656
59.955,-20.16,1.99,15.40,584.93,-35.3655251,149.1772805
60.000,-20.75,2.18,15.40,584.93,-35.3655251,149.1772805
60.064,-21.63,2.35,15.09,584.74,-35.3655280,149.1772970
60.101,-22.28,2.50,15.09,584.74,-35.3655280,149.1772970
60.175,-23.19,2.66,15.15,584.56,-35.3655295,149.1773137
60.219,-23.78,2.74,15.15,584.56,-35.3655295,149.1773137
60.281,-24.63,2.81,15.46,584.40,-35.3655307,149.1773320
60.327,-25.17,2.86,15.46,584.40,-35.3655307,149.1773320
60.384,-25.94,2.89,15.93,584.26,-35.3655311,149.1773511
60.428,-26.42,2.89,15.93,584.26,-35.3655311,149.1773511
60.490,-27.11,2.84,16.56,584.15,-35.3655313,149.1773719
60.524,-27.60,2.81,16.56,584.15,-35.3655313,149.1773719
60.589,-28.29,2.75,17.31,584.05,-35.3655304,149.1773932
60.625,-28.71,2.70,17.31,584.05,-35.3655304,149.1773932
60.693,-29.36,2.61,18.06,583.96,-35.3655292,149.1774160
60.742,-29.80,2.52,18.06,583.96,-35.3655292,149.1774160
60.798,-30.36,2.39,18.80,583.89,-35.3655279,149.1774403
60.846,-30.69,2.30,18.80,583.89,-35.3655279,149.1774403
60.914,-31.29,2.16,19.54,583.81,-35.3655263,149.1774659
60.953,-31.69,2.06,19.54,583.81,-35.3655263,149.1774659
61.024,-32.09,1.92,20.29,583.74,-35.3655244,149.1774926
61.063,-32.35,1.83,20.29,583.74,-35.3655244,149.1774926
61.129,-32.97,1.69,21.01,583.67,-35.3655220,149.1775203
61.178,-33.30,1.60,21.01,583.67,-35.3655220,149.1775203
61.233,-33.51,1.49,21.70,583.59,-35.3655191,149.1775487
61.277,-33.80,1.42,21.70,583.59,-35.3655191,149.1775487
61.338,-34.45,1.31,22.35,583.50,-35.3655156,149.1775778
61.375,-34.55,1.28,22.35,583.50,-35.3655156,149.1775778
61.436,-34.66,1.22,22.95,583.41,-35.3655115,149.1776075
61.471,-35.23,1.14,22.95,583.41,-35.3655115,149.1776075
61.534,-35.62,1.12,23.51,583.30,-35.3655068,149.1776375
61.581,-35.17,1.17,23.51,583.30,-35.3655068,149.1776375
61.638,-35.63,1.13,24.03,583.19,-35.3655014,149.1776678
61.679,-36.56,1.07,24.03,583.19,-35.3655014,149.1776678
61.740,-36.54,1.15,24.47,583.07,-35.3654952,149.1776983
61.778,-36.25,1.24,24.47,583.07,-35.3654952,149.1776983
61.845,-36.88,1.24,24.91,582.95,-35.3654883,149.1777289
61.881,-37.35,1.25,24.91,582.95,-35.3654883,149.1777289
61.947,-37.49,1.36,25.31,582.82,-35.3654806,149.1777594
61.992,-37.58,1.39,25.31,582.82,-35.3654806,149.1777594
62.051,-37.94,1.41,25.64,582.68,-35.3654721,149.1777898
62.095,-38.16,1.46,25.64,582.68,-35.3654721,149.1777898
62.161,-38.40,1.53,25.92,582.55,-35.3654629,149.1778200
62.203,-38.53,1.54,25.92,582.55,-35.3654629,149.1778200
62.275,-38.76,1.58,26.21,582.41,-35.3654529,149.1778499
62.318,-38.90,1.62,26.21,582.41,-35.3654529,149.1778499
62.390,-36.69,1.03,26.44,582.27,-35.3654420,149.1778795
62.439,-35.42,0.88,26.44,582.27,-35.3654420,149.1778795
62.492,-35.51,1.00,25.94,582.23,-35.3654313,149.1779070
62.539,-35.55,1.79,25.94,582.23,-35.3654313,149.1779070
62.616,-35.03,4.78,25.40,582.25,-35.3654194,149.1779319
62.656,-34.96,5.33,25.40,582.25,-35.3654194,149.1779319
62.731,-35.39,5.58,24.60,582.24,-35.3654071,149.1779544
62.767,-35.60,6.18,24.60,582.24,-35.3654071,149.1779544
62.832,-35.68,6.88,23.97,582.26,-35.3653938,149.1779749
62.880,-35.91,7.02,23.97,582.26,-35.3653938,149.1779749
62.941,-36.42,7.09,23.65,582.27,-35.3653793,149.1779946
62.994,-36.62,7.12,23.65,582.27,-35.3653793,149.1779946
63.061,-36.88,7.11,23.54,582.28,-35.3653640,149.1780136
63.102,-37.18,7.08,23.54,582.28,-35.3653640,149.1780136
63.168,-37.37,7.04,23.62,582.29,-35.3653478,149.1780321
63.208,-37.37,7.02,23.62,582.29,-35.3653478,149.1780321
63.277,-37.91,6.93,23.82,582.30,-35.3653310,149.1780500
63.327,-38.26,6.88,23.82,582.30,-35.3653310,149.1780500
63.382,-37.79,6.88,24.05,582.30,-35.3653134,149.1780674
63.429,-37.68,6.86,24.05,582.30,-35.3653134,149.1780674
63.494,-38.57,6.72,24.37,582.29,-35.3652953,149.1780839
63.534,-38.75,6.67,24.37,582.29,-35.3652953,149.1780839
63.600,-38.31,6.67,24.66,582.29,-35.3652766,149.1780999
63.642,-38.39,6.65,24.66,582.29,-35.3652766,149.1780999
63.707,-38.81,6.57,24.98,582.28,-35.3652573,149.1781149
63.758,-38.90,6.53,24.98,582.28,-35.3652573,149.1781149
63.815,-38.93,6.51,25.26,582.28,-35.3652375,149.1781292
63.867,-38.97,6.50,25.26,582.28,-35.3652375,149.1781292
63.935,-39.06,6.47,25.51,582.26,-35.3652173,149.1781426
63.983,-39.17,6.45,25.51,582.26,-35.3652173,149.1781426
64.063,-39.29,6.45,25.79,582.25,-35.3651967,149.1781551
64.109,-39.29,6.44,25.79,582.25,-35.3651967,149.1781551
64.176,-39.33,6.45,26.01,582.23,-35.3651757,149.1781665
64.225,-39.41,6.47,26.01,582.23,-35.3651757,149.1781665
64.288,-39.48,6.50,26.23,582.22,-35.3651543,149.1781770
64.337,-39.48,6.53,26.23,582.22,-35.3651543,149.1781770
64.408,-39.48,6.58,26.42,582.20,-35.3651327,149.1781864
64.444,-39.50,6.63,26.42,582.20,-35.3651327,149.1781864
64.512,-39.51,6.72,26.56,582.18,-35.3651109,149.1781948
64.553,-39.49,6.79,26.56,582.18,-35.3651109,149.1781948
64.618,-39.49,6.86,26.69,582.17,-35.3650889,149.1782020
64.661,-39.49,6.92,26.69,582.17,-35.3650889,149.1782020
64.716,-39.44,7.03,26.82,582.16,-35.3650667,149.1782081
64.760,-39.40,7.08,26.82,582.16,-35.3650667,149.1782081
64.831,-39.92,6.70,26.89,582.16,-35.3650445,149.1782130
64.865,-39.86,6.78,26.89,582.16,-35.3650445,149.1782130
64.944,-39.70,6.89,26.95,584.60,-35.3648051,149.1778314
64.978,-39.59,6.95,26.95,584.60,-35.3648051,149.1778314
65.039,-39.44,7.01,27.00,584.45,-35.3647812,149.1778264
65.084,-39.23,7.07,27.00,584.45,-35.3647812,149.1778264
65.136,-38.78,7.14,27.06,584.60,-35.3647580,149.1778152
65.181,-38.66,7.16,27.06,584.60,-35.3647580,149.1778152
65.249,-38.47,7.19,27.10,584.90,-35.3647344,149.1778081
65.285,-37.83,7.26,27.10,584.90,-35.3647344,149.1778081
65.354,-37.03,7.33,27.15,584.91,-35.3647120,149.1777948
65.401,-37.52,7.29,27.15,584.91,-35.3647120,149.1777948
65.466,-37.39,7.34,27.18,585.16,-35.3646888,149.1777856
65.511,-35.21,7.50,27.18,585.16,-35.3646888,149.1777856
65.568,-34.78,7.50,27.24,584.91,-35.3646673,149.1777700
65.625,-36.33,7.45,27.24,584.91,-35.3646673,149.1777700
65.695,-35.33,7.59,27.28,585.02,-35.3646447,149.1777586
65.736,-33.82,7.63,27.28,585.02,-35.3646447,149.1777586
65.798,-33.86,7.66,27.34,585.47,-35.3646240,149.1777413
65.835,-34.04,7.77,27.34,585.47,-35.3646240,149.1777413
65.907,-33.19,7.85,27.37,585.48,-35.3646021,149.1777279
65.954,-32.64,7.87,27.37,585.48,-35.3646021,149.1777279
66.013,-32.23,8.00,27.41,585.76,-35.3645822,149.1777090
66.065,-31.87,8.06,27.41,585.76,-35.3645822,149.1777090
66.136,-31.21,8.14,27.41,585.92,-35.3645611,149.1776937
66.175,-30.80,8.28,27.41,585.92,-35.3645611,149.1776937
66.240,-30.18,8.40,27.42,586.09,-35.3645422,149.1776735
66.275,-29.74,8.41,27.42,586.09,-35.3645422,149.1776735
66.354,-29.08,8.55,27.44,585.93,-35.3645219,149.1776565
66.400,-28.65,8.69,27.44,585.93,-35.3645219,149.1776565
66.456,-27.98,8.78,27.48,586.40,-35.3645042,149.1776346
66.506,-27.51,8.86,27.48,586.40,-35.3645042,149.1776346
66.568,-26.83,9.03,27.49,586.38,-35.3644848,149.1776160
66.605,-26.36,9.09,27.49,586.38,-35.3644848,149.1776160
66.675,-25.63,9.20,27.52,586.60,-35.3644683,149.1775927
66.716,-25.16,9.35,27.52,586.60,-35.3644683,149.1775927
66.780,-24.40,9.51,27.53,586.84,-35.3644499,149.1775725
66.826,-23.88,9.55,27.53,586.84,-35.3644499,149.1775725
66.879,-23.11,9.71,27.57,587.06,-35.3644347,149.1775482
66.929,-22.57,9.86,27.57,587.06,-35.3644347,149.1775482
67.005,-21.75,9.98,27.62,587.25,-35.3644173,149.1775266
67.045,-21.21,10.07,27.62,587.25,-35.3644173,149.1775266
67.111,-20.38,10.26,27.63,587.60,-35.3644032,149.1775012
67.148,-19.79,10.36,27.63,587.60,-35.3644032,149.1775012
67.215,-18.92,10.48,27.67,588.03,-35.3643870,149.1774783
67.266,-18.37,10.60,27.67,588.03,-35.3643870,149.1774783
67.322,-17.48,10.77,27.71,588.42,-35.3643741,149.1774519
67.377,-16.82,10.85,27.71,588.42,-35.3643741,149.1774519
67.452,-15.97,10.99,27.73,588.67,-35.3643590,149.1774279
67.484,-15.49,11.10,27.73,588.67,-35.3643590,149.1774279
67.549,-14.48,11.25,27.74,588.91,-35.3643472,149.1774008
67.586,-13.75,11.35,27.74,588.91,-35.3643472,149.1774008
67.653,-13.19,11.47,27.78,589.39,-35.3643332,149.1773757
67.707,-12.72,11.55,27.78,589.39,-35.3643332,149.1773757
67.763,-11.17,11.69,27.78,589.51,-35.3643225,149.1773479
67.811,-10.70,11.76,27.78,589.51,-35.3643225,149.1773479
67.889,-11.04,11.85,27.82,590.10,-35.3643097,149.1773220
67.922,-9.72,11.95,27.82,590.10,-35.3643097,149.1773220
67.985,-7.30,12.07,27.87,590.33,-35.3643000,149.1772936
68.026,-8.22,12.11,27.87,590.33,-35.3643000,149.1772936
68.089,-8.30,12.20,27.92,590.61,-35.3642882,149.1772668
68.135,-6.51,12.24,27.92,590.61,-35.3642882,149.1772668
68.189,-5.70,12.29,27.94,591.21,-35.3642793,149.1772381
68.234,-6.05,12.39,27.94,591.21,-35.3642793,149.1772381
68.301,-5.28,12.43,27.98,591.49,-35.3642685,149.1772106
68.335,-4.47,12.38,27.98,591.49,-35.3642685,149.1772106
68.402,-3.90,12.47,28.04,592.05,-35.3642602,149.1771817
68.438,-3.58,12.56,28.04,592.05,-35.3642602,149.1771817
68.509,-2.85,12.53,28.06,592.66,-35.3642503,149.1771537
68.555,-2.31,12.53,28.06,592.66,-35.3642503,149.1771537
68.615,-1.61,12.61,28.09,593.09,-35.3642425,149.1771244
68.660,-1.15,12.57,28.09,593.09,-35.3642425,149.1771244
68.729,-0.45,12.52,28.14,593.48,-35.3642333,149.1770960
68.763,-0.02,12.59,28.14,593.48,-35.3642333,149.1770960
68.829,0.58,12.57,28.17,593.73,-35.3642265,149.1770662
68.865,0.98,12.45,28.17,593.73,-35.3642265,149.1770662
68.945,1.58,12.42,28.26,594.39,-35.3642181,149.1770373
68.999,1.97,12.44,28.26,594.39,-35.3642181,149.1770373
69.059,2.52,12.33,28.33,594.96,-35.3642119,149.1770071
69.108,2.88,12.26,28.33,594.96,-35.3642119,149.1770071
69.172,3.42,12.23,28.40,595.27,-35.3642042,149.1769778
69.206,3.76,12.14,28.40,595.27,-35.3642042,149.1769778
69.280,4.24,12.01,28.44,595.66,-35.3641987,149.1769473
